"Admin Username","Admin Username"
"All Users","All Users"
"Cannot login to account.","Cannot login to account."
"Cannot login to account. Customer is not valid.","Cannot login to account. Customer is not valid."
"Cannot login to account. Invalid token.","Cannot login to account. Invalid token."
"Cannot login to account. No token provided.","Cannot login to account. No token provided."
"Cannot login to account. This customer no longer exists.","Cannot login to account. This customer no longer exists."
"Cannot login to account. This user no longer exists.","Cannot login to account. This user no longer exists."
"Customer Email","Customer Email"
"Customer ID","Customer ID"
"Edit Customer","Edit Customer"
"Enable Checkout","Enable Checkout"
"Enable Login as Customer","Enable Login as Customer"
"Enable Login Button In Customer Information Page","Enable Login Button In Customer Information Page"
"Enable Login Button In Customers Grid","Enable Login Button In Customers Grid"
"Enable Login Button In Order Detail Page","Enable Login Button In Order Detail Page"
"Enable Logs Cleaning","Enable Logs Cleaning"
"IP Address","IP Address"
"Login as Customer","Login as Customer"
"Login as Customer Cron Error","Login as Customer Cron Error"
"Login as Customer Login Logs Cleaning","Login as Customer Login Logs Cleaning"
"Login as Customer Logs","Login as Customer Logs"
"Login as Customer Section","Login as Customer Section"
"Login Date","Login Date"
"Logs Cleaning","Logs Cleaning"
"On frontend, authorize administrators to place an order for customers.","On frontend, authorize administrators to place an order for customers."
"Open Admin","Open Admin"
"Please specify a customer ID.","Please specify a customer ID."
"Redirect URL After Login","Redirect URL After Login"
"Relative or absolute URL. By default 'customer/account'.","Relative or absolute URL. By default 'customer/account'."
"Save Login Logs","Save Login Logs"
"Save Logs, Days","Save Logs, Days"
"Sign Out","Sign Out"
"Shopigo Extensions","Shopigo Extensions"
"This customer no longer exists.","This customer no longer exists."
"This message will be shown in the shopping cart when the checkout is disabled.","This message will be shown in the shopping cart when the checkout is disabled."
"Unable to generate login token.","Unable to generate login token."
"URL where the admin user will be redirected after clicking on the ""Login as Customer"" button.","URL where the admin user will be redirected after clicking on the ""Login as Customer"" button."
"Warning Message","Warning Message"
"We can't save the cron expression.","We can't save the cron expression."
"You are logged in as customer: %1","You are logged in as customer: %1"
"You are logged in as customer: <strong>%1 (%2)</strong>","You are logged in as customer: <strong>%1 (%2)</strong>"
"You are not authorized to place an order for this customer.","You are not authorized to place an order for this customer."